model_key,benchmark,task,core,n_total,n_parsed,n_parse_errors,parse_coverage,n_evaluated,n_positive,n_negative,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,balanced_accuracy,auroc,n_scored_probabilities
aprielguard-8b,aegis_v1,prompt_harm,True,359,359,0,1.00000000,359,233,126,155,4,122,78,0.77158774,0.97484277,0.66523605,0.96825397,0.79081633,0.81674501,0.92710675,359
aprielguard-8b,aegis_v2,prompt_harm,False,1964,1964,0,1.00000000,1964,1059,905,806,105,800,253,0.81771894,0.88474204,0.76109537,0.88397790,0.81827411,0.82253664,0.90096098,1964
aprielguard-8b,beavertails,response_harm,True,3021,3021,0,1.00000000,3021,1733,1288,1384,172,1116,349,0.82754055,0.88946015,0.79861512,0.86645963,0.84159319,0.83253737,0.89757511,3021
aprielguard-8b,harmbench,prompt_harm,True,239,239,0,1.00000000,239,239,0,159,0,0,80,0.66527197,1.00000000,0.66527197,,0.79899497,,,239
aprielguard-8b,harmbench,response_harm,True,602,602,0,1.00000000,602,273,329,234,54,275,39,0.84551495,0.81250000,0.85714286,0.83586626,0.83422460,0.84650456,0.92158500,602
aprielguard-8b,openai_mod,prompt_harm,True,1680,1680,0,1.00000000,1680,522,1158,468,159,999,54,0.87321429,0.74641148,0.89655172,0.86269430,0.81462141,0.87962301,0.94171977,1680
aprielguard-8b,saferlhf,response_harm,True,2000,2000,0,1.00000000,2000,1000,1000,592,218,782,408,0.68700000,0.73086420,0.59200000,0.78200000,0.65414365,0.68700000,0.73820150,2000
aprielguard-8b,simplesafetytests,prompt_harm,False,100,100,0,1.00000000,100,100,0,97,0,0,3,0.97000000,1.00000000,0.97000000,,0.98477157,,,100
aprielguard-8b,toxicchat,prompt_harm,True,2853,2853,0,1.00000000,2853,362,2491,281,84,2407,81,0.94216614,0.76986301,0.77624309,0.96627860,0.77303989,0.87126085,0.97332441,2853
aprielguard-8b,wildguardtest,prompt_harm,True,1699,1699,0,1.00000000,1699,754,945,663,97,848,91,0.88934667,0.87236842,0.87931034,0.89735450,0.87582563,0.88833242,0.94241927,1699
aprielguard-8b,wildguardtest,response_harm,True,1709,1709,0,1.00000000,1709,284,1425,218,86,1339,66,0.91105910,0.71710526,0.76760563,0.93964912,0.74149660,0.85362738,0.93529157,1709
aprielguard-8b,xstest_response,response_harm,True,446,446,0,1.00000000,446,78,368,74,3,365,4,0.98430493,0.96103896,0.94871795,0.99184783,0.95483871,0.97028289,0.98968785,446
duoguard-0.5b,aegis_v1,prompt_harm,True,359,359,0,1.00000000,359,233,126,163,16,110,70,0.76044568,0.91061453,0.69957082,0.87301587,0.79126214,0.78629334,0.87364602,359
duoguard-0.5b,aegis_v2,prompt_harm,False,1964,1964,0,1.00000000,1964,1059,905,805,172,733,254,0.78309572,0.82395087,0.76015109,0.80994475,0.79076621,0.78504792,0.85676835,1964
duoguard-0.5b,beavertails,response_harm,True,3021,3021,0,1.00000000,3021,1733,1288,1585,585,703,148,0.75736511,0.73041475,0.91459896,0.54580745,0.81219575,0.73020321,0.85814953,3021
duoguard-0.5b,harmbench,prompt_harm,True,239,239,0,1.00000000,239,239,0,148,0,0,91,0.61924686,1.00000000,0.61924686,,0.76485788,,,239
duoguard-0.5b,harmbench,response_harm,True,602,602,0,1.00000000,602,273,329,176,78,251,97,0.70930233,0.69291339,0.64468864,0.76291793,0.66793169,0.70380329,0.77804313,602
duoguard-0.5b,openai_mod,prompt_harm,True,1680,1680,0,1.00000000,1680,522,1158,413,232,926,109,0.79702381,0.64031008,0.79118774,0.79965458,0.70779777,0.79542116,0.87119422,1680
duoguard-0.5b,saferlhf,response_harm,True,2000,2000,0,1.00000000,2000,1000,1000,818,568,432,182,0.62500000,0.59018759,0.81800000,0.43200000,0.68566639,0.62500000,0.69068650,2000
duoguard-0.5b,simplesafetytests,prompt_harm,False,100,100,0,1.00000000,100,100,0,74,0,0,26,0.74000000,1.00000000,0.74000000,,0.85057471,,,100
